address,points,boost
0xfAa2ed73bFf12b36cae559E3a96846f8C8Dd8FFA,1721.61,0
0xad7aD8B8d0c233c52041B4e8818014Eb043DD0c1,1719.84,0.1
0xF7a15601ae851d3eD6bD19456b8d063A88bCcD76,1708.86,0
0x7b3c2A37644bB06D69FD714b4df016834d67c368,1703.72,0.25
0xb9C0aBA138B98656FfEa4309bfE2881b0b7c1d96,1703.14,0
0x4efcE445921ad4e91B5befd260c07425548B3A53,1692.53,0.1
0x683A303D8f3789170B6E67AD40411e7025e8afbD,1684.38,0.1
0x74FB9510DafD52648735859f11bE1145dc0f9528,1681.24,0
0x8aeb7FC5949b937f201eC0F2668156C3EA044286,1674.76,0.375
0x28A7c3e819d6C5cbf3F9715a3edfF185128ADcAC,1650.32,0
0x8e546E25206b5e13726705BDcA5356072A3215D3,1644.02,0
0x041E6A40Dd6F7e664ecC0992F42831c15Cc7eBBC,1631.91,0.1
0xd689773a8f713eb33C2f23413f04eD4452975D4E,1606.32,0.375
0xe38565FF5F5C4964A3b23a98dDaa12a33c8caDF8,1590.73,0.375
0xFFa099c6a15c7eB5cAD17eD17938D12C39CE6a31,1576.31,0.375
0xC6BE3c6C87d6baA1cFBC4EF7Ed5f1f4722CE7b2F,1554,0.375
0x4DB81479570A51EeDCC64263062248f8Cd2a662C,1549.97,0.1
0x2ec4C8ebf7BE5D8D37073919d18C21Ef71f93E97,1506.48,0
0xaBEcD03e3c33E8ad6CbD1bbD53F3f79C212B5035,1503.13,0.1
0x2601576e992682bd29a10a960e6Bf6625E4399e5,1496.82,0
0xCafa6A19A9ad8b54BC8C3C90BC9ff51161c3f2a4,1479.75,0.25
0x0f6c1B53B53a9bd653ccF7507Dedf71AfdFccd03,1477.85,0.1
0xC2caF2a86e295FF1b5350479d18b4a83e91f0eD2,1462.94,0.25
0xBA2726901B7bbEe6d565ECBa761681dD9558b730,1435.16,0.375
0xBaE14E8092cbe6d85b89EEDac449De2F09b6ea2b,1420.58,0.375
0x8D7fBeCB52d3E4Baa41DeF7df8FB895dBd5aF267,1414.38,0.375
0x2F06fe93C1564439841208ef0c967640Eb602EFF,1391.77,0.1
0xe00FcAF1B7e7628f1844042581894ECb8f9317Dc,1391.24,0.375
0x51Ffe7540573a7f28423BdaedF0a198D13482eE1,1380.83,0.25
0x38b44B3Bc6Cb4c296703a7dfE252E505461E94E6,1363.19,0
0xDbC67ED747c0dD74DF2E2dF3fbC6DB7965123D43,1349.93,0.1
0x6e94dd7327336d80D0C916a83262275e3Af1AF8B,1340.64,0
0x9615fa22d4ed0E7D5B3fe52F8daCC961435bc920,1291.5,0.375
0x7D3eefb4F922f576AdBda5dA017374Fab8BceE1D,1269.25,0.25
0x3497589C57Ea336Ee510d0b05448a395893ed409,1218.91,0.375
0xD201FCcf7CE8a90f6A1420D1350714AD5181F883,1217.11,0.375
0xd1c073834045A4E51c403A9a21AD91eA9Da4365d,1215.13,0.375
0x1421fcb12d209aB56bF843e1a9F2F8a62A4eC2BF,1214.82,0
0x425B1F1c7c3916E44d44c09Bc2dD3ef393dcFEBE,1214.4,0.375
0x45A19F4D4EB3956BD21b3B720C94B305eBe954d4,1191.51,0.1
0x400ba5d93864326Cb89546Ab6c442499a087a584,1191.44,0
0xb6e557b92E5Dc3151CcF5D421556D159F8367d50,1189.12,0.1
0xfbe66f22a211eb2AFd601F84a4248ac241d60D89,1171.19,0.375
0xF31f35069380b3feC82D31ee8d65F5F474156F15,1156.8,0.375
